Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,Perc_WIDA_AGP,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2024,01,Churchill,01205.1,Best ES,Regular,43.3,Not Rated,YES,28.6,35.9,N/A,YES,YES,NO,NO,NO,N/A,N/A,53.1,53.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.7,NO,N/A,NO,N/A,NO,N/A
2024,01,Churchill,01206.1,Lahontan ES,Regular,55,Not Rated,YES,N/A,N/A,N/A,N/A,N/A,NO,NO,NO,N/A,N/A,50.0,50.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.5,NO,N/A,NO,N/A,NO,N/A
2024,01,Churchill,01207.1,Numa ES,Regular,26.8,1,YES,35.6,24.8,10.1,YES,YES,NO,NO,NO,37.1,23.3,44.8,44.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.8,NO,N/A,YES,N/A,NO,N/A
2024,01,Churchill,01301.2,Churchill MS,Regular,17,1,YES,25.9,11.8,23.3,YES,YES,NO,NO,NO,26.0,10.1,17.1,17.1,65.4,N/A,N/A,N/A,N/A,N/A,N/A,20.0,NO,N/A,NO,N/A,YES,2
2024,01,Churchill,01401.3,Churchill HS,Regular,42.5,2,NO,35.3,13.3,8.0,NO,NO,YES,YES,NO,N/A,N/A,17.2,17.2,N/A,90.0,43.0,28.2,25.2,86.9,81.3,36.6,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02060.1,Thompson T ES,Regular,58,3,NO,61.9,60.1,15.1,YES,YES,NO,NO,NO,51.1,40.0,46.8,46.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.9,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02061.1,Abston ES,Regular,49.5,2,YES,52.6,44.7,13.7,YES,YES,NO,NO,NO,51.3,44.7,46.8,46.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.3,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02062.1,Jenkins ES,Regular,23,1,YES,42.5,37.4,5.6,YES,YES,NO,NO,NO,42.1,24.2,38.6,38.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.4,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02064.1,Ellis ES,Regular,78,4,NO,64.6,63.3,13.2,YES,YES,NO,NO,NO,59.6,57.0,44.4,44.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.9,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02065.1,Ortwein ES,Regular,52,3,NO,44.2,43.3,13.0,YES,YES,NO,NO,NO,42.8,49.5,54.0,54.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.5,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02066.1,Barber ES,Regular,63.5,3,YES,53.5,49.7,9.3,YES,YES,NO,NO,NO,57.5,54.9,41.4,41.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.8,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02067.1,Divich ES,Regular,66.5,3,NO,56.4,56.7,19.2,YES,YES,NO,NO,NO,55.9,55.9,29.4,29.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.2,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02068.1,Jones Blackhurst ES,Regular,60,3,NO,66.4,57.4,27.1,YES,YES,NO,NO,NO,56.8,40.8,34.7,34.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.7,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02069.1,Vassiliadis ES,Regular,92,5,NO,79.9,81.2,55.3,YES,YES,NO,NO,NO,75.2,67.2,62.0,62.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.8,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02070.1,Berkley ES,Regular,77.5,4,NO,59.8,52.7,22.3,YES,YES,NO,NO,NO,62.1,58.0,46.8,46.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.5,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02071.1,Stevens ES,Regular,59,3,YES,52.6,49.4,20.8,YES,YES,NO,NO,NO,52.1,55.3,18.4,18.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.1,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02072.1,Mathis ES,Regular,53,3,NO,55.7,57.1,10.7,YES,YES,NO,NO,NO,49.4,48.6,47.7,47.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.2,NO,N/A,NO,N/A,YES,2
2024,02,Clark,02073.1,Heard ES,Regular,54,3,YES,46.8,40.6,13.7,YES,YES,NO,NO,NO,48.8,41.7,46.8,46.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.1,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02074.1,Snyder D ES,Regular,34.5,2,NO,44.2,35.2,20.3,YES,YES,NO,NO,NO,44.3,25.2,58.3,58.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.1,NO,N/A,NO,N/A,YES,1
2024,02,Clark,02076.1,Duncan ES,Regular,13,1,YES,33.9,25.2,<5,YES,YES,NO,NO,NO,25.2,13.5,38.7,38.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.2,NO,N/A,NO,N/A,YES,2
2024,02,Clark,02077.1,Wallin ES,Regular,79,4,NO,71.7,72.7,25.6,YES,YES,NO,NO,NO,66.8,64.8,48.0,48.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.9,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02078.1,Stuckey ES,Regular,90.5,5,NO,64.6,65.0,40.8,YES,YES,NO,NO,NO,70.8,68.4,51.8,51.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.2,NO,N/A,NO,N/A,NO,N/A
2024,02,Clark,02079.1,Keller  ES,Regular,39,2,YES,40.4,37.8,<5,YES,YES,NO,NO,NO,40.0,40.0,44.6,44.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.4,NO,N/A,NO,N/A,YES,1
