SCHOOL_ID,SCHOOL_NAME,REGION,ADDRESS,CITY,STATE,ZIP_CODE,DBT_UPDATED_AT
2268,Doris French Elementary School,Region 2,3235 E. Hacienda Ave.,Las Vegas,NV,89120,2026-07-01 11:30:18.938 -0700
2183,J Marlan Walker International School Elementary School,Region 3,850 Scholar St.,Henderson,NV,89002,2026-07-01 11:30:18.938 -0700
2230,Glen C Taylor Elementary School,Region 3,2655 Siena Heights Dr.,Henderson,NV,89052,2026-07-01 11:30:18.938 -0700
2201,Bertha Ronzone Elementary School,Region 1,5701 Stacey Ave.,Las Vegas,NV,89108,2026-07-01 11:30:18.938 -0700
2124,Herbert A Derfelt Elementary School,Region 2,1900 S. Lisa Ln.,Las Vegas,NV,89117,2026-07-01 11:30:18.938 -0700
2302,Frank F Garside Junior High School,Region 2,6371 Hyde Ave.,Las Vegas,NV,89107,2026-07-01 11:30:18.938 -0700
2091,Dr Claude G Perkins Elementary School,Transformation Network,3700 Shadow Tree St.,N. Las Vegas,NV,89032,2026-07-01 11:30:18.938 -0700
2199,Don E Hayden Elementary School,Region 1,150 W. Rome Blvd.,N. Las Vegas,NV,89084,2026-07-01 11:30:18.938 -0700
2062,Earl N Jenkins Elementary School,Region 3,6950 Vegas Valley Dr.,Las Vegas,NV,89142,2026-07-01 11:30:18.938 -0700
2235,Red Rock Elementary School,Region 2,408 Upland Blvd.,Las Vegas,NV,89107,2026-07-01 11:30:18.938 -0700
2252,Indian Springs Elementary School,Region 1,400 Sky Rd.,Indian Springs,NV,89018,2026-07-01 11:30:18.938 -0700
2310,Robert O Gibson Leadership Academy Middle School,Region 1,3900 W. Washington Ave.,Las Vegas,NV,89107,2026-07-01 11:30:18.938 -0700
2269,C H Decker Elementary School,Region 2,3850 S. Redwood St.,Las Vegas,NV,89103,2026-07-01 11:30:18.938 -0700
2253,Richard C Priest Elementary School,Region 1,4150 Fuselier Dr.,N. Las Vegas,NV,89032,2026-07-01 11:30:18.938 -0700
2287,Elise L Wolff Elementary School,Region 3,1001 Seven Hills Dr.,Henderson,NV,89052,2026-07-01 11:30:18.938 -0700
2189,Eva G Simmons Elementary School,Region 1,2328 Silver Clouds Dr.,N. Las Vegas,NV,89031,2026-07-01 11:30:18.938 -0700
2214,J M Ullom Elementary School,Region 2,4869 E. Sun Valley Dr.,Las Vegas,NV,89121,2026-07-01 11:30:18.938 -0700
2119,Wing and Lilly Fong Elementary School,Region 1,2200 James Bilbray Dr.,Las Vegas,NV,89108,2026-07-01 11:30:18.938 -0700
2073,Lomie G Heard Elementary School,Region 3,4497 Kell Ln.,Las Vegas,NV,89115,2026-07-01 11:30:18.938 -0700
2107,Frank Kim Elementary School,Region 2,7600 Peace Way,Las Vegas,NV,89147,2026-07-01 11:30:18.938 -0700
2912,Juvenile Detention 6-12 JR/SR High School,Alternative,601 N. Pecos #70,Las Vegas,NV,89101,2026-07-01 11:30:18.938 -0700
2360,Lois & Jerry Tarkanian Middle School,Region 2,5800 W. Pyle Ave.,Las Vegas,NV,89141,2026-07-01 11:30:18.938 -0700
2308,John C Fremont Professional Development Middle School,Region 2,1100 E. St. Louis Ave.,Las Vegas,NV,89104,2026-07-01 11:30:18.938 -0700
2068,Jan L Jones Blackhurst Elementary School,Region 2,11141 S. Pioneer Way,Las Vegas,NV,89179,2026-07-01 11:30:18.938 -0700
2109,M J Christensen Elementary School,Region 2,9001 Mariner Cove Dr.,Las Vegas,NV,89117,2026-07-01 11:30:18.938 -0700
2316,Helen C Cannon Junior High School,Region 2,5850 Euclid St.,Las Vegas,NV,89120,2026-07-01 11:30:18.938 -0700
