SCHOOL_ID,SCHOOL_NAME,REGION,ELA_FIRST_YEAR,ELA_LATEST_YEAR,ELA_FIRST_PCT,ELA_LATEST_PCT,ELA_OVERALL_CHANGE,MATH_FIRST_YEAR,MATH_LATEST_YEAR,MATH_FIRST_PCT,MATH_LATEST_PCT,MATH_OVERALL_CHANGE,COMPOSITE_OVERALL_CHANGE,ELA_YEARS_IMPROVED,ELA_YEARS_DECLINED,ELA_YEARS_MEASURED,MATH_YEARS_IMPROVED,MATH_YEARS_DECLINED,MATH_YEARS_MEASURED,COMPOSITE_YEARS_IMPROVED,COMPOSITE_YEARS_DECLINED,ELA_PEAK_YOY,MATH_PEAK_YOY,COMPOSITE_PEAK_YOY,CONSISTENCY_SCORE,IMPROVEMENT_SCORE,ELA_OVERALL_RANK,MATH_OVERALL_RANK,COMPOSITE_OVERALL_RANK,CONSISTENCY_RANK,ELA_PEAK_RANK,MATH_PEAK_RANK,COMPOSITE_PEAK_RANK,IMPROVEMENT_CATEGORY,OVERALL_IMPROVEMENT_RANK,REGIONAL_IMPROVEMENT_RANK
2092,Innovations International Charter Elementary School,Charter,2020,2024,21,37,16,2020,2024,8,36,28,22.0,4,0,4,4,0,4,4,0,8,14,9.0,1,0.935,45,19,30,1,135,49,114,Consistently Improving,17,1
2615,Explore Knowledge Academy Elementary School,Charter,2020,2024,46,60,14,2020,2024,20,37,17,15.5,3,1,4,3,1,4,4,0,8,10,6.5,1,0.904,67,106,89,1,135,112,182,Consistently Improving,41,2
2363,Innovations International Charter JR/SR High School,Charter,2020,2024,24,35,11,2020,2024,7,11,4,7.5,2,2,4,1,1,2,3,1,19,4,7.0,0.75,0.715,100,254,193,69,6,244,168,Consistently Improving,162,3
2616,Explore Knowledge Academy JR/SR High School,Charter,2020,2024,56,70,14,2020,2024,30,35,5,9.5,3,1,4,2,2,4,2,2,10,11,9.0,0.5,0.575,67,238,167,215,87,96,114,Mixed Progress,232,4
2621,The Delta Academy JR/SR High School,Charter,2020,2024,26,35,9,2020,2024,11,17,6,7.5,1,2,4,2,1,4,1,2,18,6,12.0,0.33,0.463,130,232,193,277,11,202,47,Mixed Progress,278,5
2626,NV Learning Academy Elementary School,Charter,2021,2024,38,33,-5,2021,2024,19,14,-5,-5.0,1,2,3,1,2,3,1,2,11,3,4.0,0.33,0.403,283,296,296,277,62,259,251,Needs Attention,289,6
2625,NV Learning Academy JR/SR High School,Charter,2020,2024,76,30,-46,2020,2024,57,8,-49,-47.5,0,3,4,1,3,4,0,4,0,2,-1.0,0,0,300,300,300,299,295,280,299,Needs Attention,300,7
2202,Mabel Hoggard Elementary School,Region 1,2020,2024,42,63,21,2020,2024,23,58,35,28.0,4,0,4,4,0,4,4,0,9,17,11.0,1,0.964,22,2,3,1,104,25,68,Consistently Improving,3,1
2118,Dorothy Eisenberg Elementary School,Region 1,2020,2024,27,53,26,2020,2024,15,42,27,26.5,2,2,4,4,0,4,4,0,17,13,15.0,1,0.957,6,28,8,1,12,63,23,Consistently Improving,5,2
2290,R E Tobler Elementary School,Region 1,2020,2024,32,52,20,2020,2024,16,43,27,23.5,3,1,4,4,0,4,4,0,11,15,11.5,1,0.942,24,28,21,1,62,38,55,Consistently Improving,13,3
2285,Sheila Tarr Academy of International Studies Elementary School,Region 1,2020,2024,46,63,17,2020,2024,32,59,27,22.0,4,0,4,4,0,4,4,0,9,12,10.5,1,0.935,37,28,30,1,104,80,80,Consistently Improving,17,4
2083,Thomas ORoarke Elementary School,Region 1,2020,2024,56,70,14,2020,2024,35,61,26,20.0,3,1,4,3,1,4,4,0,9,19,14.0,1,0.925,67,36,43,1,104,17,29,Consistently Improving,22,5
2083,Thomas ORoarke Elementary School,Region 1,2020,2024,56,70,14,2020,2024,35,61,26,20.0,3,1,4,3,1,4,4,0,9,19,14.0,1,0.925,67,36,43,1,104,17,29,Consistently Improving,22,5
2197,Theron H & Naomi D Goynes Elementary School,Region 1,2020,2024,45,62,17,2020,2024,26,49,23,20.0,4,0,4,3,0,4,4,0,6,14,8.5,1,0.925,37,54,43,1,190,49,128,Consistently Improving,22,5
2141,William Lummis Elementary School,Region 1,2020,2024,52,68,16,2020,2024,42,63,21,18.5,3,1,4,4,0,4,3,0,9,7,7.5,1,0.918,45,68,54,1,104,183,151,Consistently Improving,27,8
2295,Doris M Reed Elementary School,Region 1,2020,2024,14,30,16,2020,2024,6,27,21,18.5,4,0,4,3,0,4,4,0,11,11,11.0,1,0.918,45,68,54,1,62,96,68,Consistently Improving,27,8
2106,Ruthe Deskin Elementary School,Region 1,2020,2024,33,49,16,2020,2024,20,36,16,16.0,3,1,4,3,0,4,4,0,11,8,9.0,1,0.906,45,117,85,1,62,157,114,Consistently Improving,40,10
2082,Vincent L Triggs Elementary School,Region 1,2020,2024,41,53,12,2020,2024,27,45,18,15.0,3,1,4,3,0,4,4,0,6,10,7.0,1,0.901,91,98,94,1,190,112,168,Consistently Improving,43,11
2148,Richard H Bryan Elementary School,Region 1,2020,2024,42,53,11,2020,2024,31,48,17,14.0,3,0,4,3,1,4,3,0,5,9,6.5,1,0.896,100,106,101,1,226,132,182,Consistently Improving,46,12
2133,Marc Kahre Elementary School,Region 1,2020,2024,35,40,5,2020,2024,14,37,23,14.0,3,1,4,3,0,4,4,0,3,8,5.0,1,0.896,183,54,101,1,270,157,221,Consistently Improving,46,12
2067,Kenneth Divich Elementary School,Region 1,2020,2024,57,65,8,2020,2024,37,56,19,13.5,3,1,4,3,0,4,4,0,9,9,6.0,1,0.894,139,87,107,1,104,132,194,Consistently Improving,49,14
2253,Richard C Priest Elementary School,Region 1,2020,2024,30,40,10,2020,2024,15,31,16,13.0,3,1,4,2,1,4,4,0,6,13,9.5,1,0.892,118,117,112,1,190,63,98,Consistently Improving,51,15
2331,Lied STEM Academy Middle School,Region 1,2020,2024,56,62,6,2020,2024,38,53,15,10.5,2,1,4,3,0,4,4,0,5,7,5.5,1,0.88,171,130,154,1,226,183,205,Consistently Improving,59,16
2199,Don E Hayden Elementary School,Region 1,2020,2024,28,33,5,2020,2024,12,26,14,9.5,2,2,4,3,1,4,3,0,7,8,7.5,1,0.875,183,138,167,1,166,157,151,Consistently Improving,62,17
2093,FuturEdge Academy Elementary School,Region 1,2022,2024,18,17,-1,2022,2022,10,10,0,-0.5,1,1,2,0,0,0,1,0,3,,3.0,1,0.827,259,283,281,1,270,299,273,Consistent but Flat,67,18
2152,Eva Wolfe Elementary School,Region 1,2020,2024,17,43,26,2020,2024,5,33,28,27.0,3,0,4,3,1,4,3,1,14,22,18.0,0.75,0.809,6,19,5,69,31,4,5,Consistently Improving,70,19
2171,Kay Carl Elementary School,Region 1,2020,2024,30,50,20,2020,2024,15,47,32,26.0,3,1,4,4,0,4,3,1,9,13,10.5,0.75,0.804,24,5,10,69,104,63,80,Consistently Improving,72,20
2255,Virgin Valley Elementary School,Region 1,2020,2024,34,50,16,2020,2024,21,48,27,21.5,2,1,4,3,1,4,3,1,14,21,17.5,0.75,0.783,45,28,33,69,31,8,8,Consistently Improving,82,21
2219,Helen Anderson Toland International Academy,Region 1,2020,2024,28,46,18,2021,2024,20,45,25,21.5,2,2,4,3,0,3,3,1,16,15,10.0,0.75,0.783,32,43,33,69,16,38,88,Consistently Improving,82,21
2172,Marshall C Darnell Elementary School,Region 1,2020,2024,46,58,12,2020,2024,23,53,30,21.0,2,2,4,3,1,4,3,1,17,16,16.5,0.75,0.78,91,9,36,69,12,30,11,Consistently Improving,84,23
