SCHOOL_ID,SCHOOL_NAME,REGION,SCHOOL_YEAR,ELA_PCT,ELA_PRIOR_YEAR,ELA_YOY_CHANGE,ELA_DIRECTION,MATH_PCT,MATH_PRIOR_YEAR,MATH_YOY_CHANGE,MATH_DIRECTION,COMPOSITE_PCT,COMPOSITE_YOY_CHANGE
2178,Tony Alamo Elementary School,Region 2,2020,44,,,,28,,,,36.0,
2178,Tony Alamo Elementary School,Region 2,2021,55,44,11,Up,44,28,16,Up,49.5,13.5
2178,Tony Alamo Elementary School,Region 2,2022,55,55,0,Flat,46,44,2,Up,50.5,1.0
2178,Tony Alamo Elementary School,Region 2,2023,53,55,-2,Down,46,46,0,Flat,49.5,-1.0
2178,Tony Alamo Elementary School,Region 2,2024,55,53,2,Up,52,46,6,Up,53.5,4.0
2067,Kenneth Divich Elementary School,Region 1,2020,57,,,,37,,,,47.0,
2067,Kenneth Divich Elementary School,Region 1,2021,63,57,6,Up,43,37,6,Up,53.0,6.0
2067,Kenneth Divich Elementary School,Region 1,2022,55,63,-8,Down,52,43,9,Up,53.5,0.5
2067,Kenneth Divich Elementary School,Region 1,2023,56,55,1,Up,56,52,4,Up,56.0,2.5
2067,Kenneth Divich Elementary School,Region 1,2024,65,56,9,Up,56,56,0,Flat,60.5,4.5
2186,Judy & John L Goolsby Elementary School,Region 1,2020,75,,,,57,,,,66.0,
2186,Judy & John L Goolsby Elementary School,Region 1,2021,75,75,0,Flat,73,57,16,Up,74.0,8.0
2186,Judy & John L Goolsby Elementary School,Region 1,2022,71,75,-4,Down,67,73,-6,Down,69.0,-5.0
2186,Judy & John L Goolsby Elementary School,Region 1,2023,70,71,-1,Down,69,67,2,Up,69.5,0.5
2186,Judy & John L Goolsby Elementary School,Region 1,2024,78,70,8,Up,75,69,6,Up,76.5,7.0
2203,C C Ronnow Elementary School,Region 3,2020,14,,,,9,,,,11.5,
2203,C C Ronnow Elementary School,Region 3,2021,33,14,19,Up,20,9,11,Up,26.5,15.0
2203,C C Ronnow Elementary School,Region 3,2022,20,33,-13,Down,17,20,-3,Down,18.5,-8.0
2203,C C Ronnow Elementary School,Region 3,2023,24,20,4,Up,24,17,7,Up,24.0,5.5
2203,C C Ronnow Elementary School,Region 3,2024,30,24,6,Up,23,24,-1,Down,26.5,2.5
2081,Henry & Evelyn Bozarth Elementary School,Region 1,2020,51,,,,36,,,,43.5,
2081,Henry & Evelyn Bozarth Elementary School,Region 1,2021,64,51,13,Up,56,36,20,Up,60.0,16.5
2081,Henry & Evelyn Bozarth Elementary School,Region 1,2022,61,64,-3,Down,53,56,-3,Down,57.0,-3.0
2081,Henry & Evelyn Bozarth Elementary School,Region 1,2023,64,61,3,Up,53,53,0,Flat,58.5,1.5
2081,Henry & Evelyn Bozarth Elementary School,Region 1,2024,68,64,4,Up,58,53,5,Up,63.0,4.5
2243,Twin Lakes Elementary School,Region 1,2020,20,,,,13,,,,16.5,
2243,Twin Lakes Elementary School,Region 1,2021,31,20,11,Up,21,13,8,Up,26.0,9.5
2243,Twin Lakes Elementary School,Region 1,2022,31,31,0,Flat,17,21,-4,Down,24.0,-2.0
2243,Twin Lakes Elementary School,Region 1,2023,29,31,-2,Down,23,17,6,Up,26.0,2.0
2243,Twin Lakes Elementary School,Region 1,2024,36,29,7,Up,28,23,5,Up,32.0,6.0
2291,Sandy Valley Elementary School,Region 3,2020,,,,,,,,,,
2291,Sandy Valley Elementary School,Region 3,2021,24,,,,26,,,,25.0,
2291,Sandy Valley Elementary School,Region 3,2022,25,24,1,Up,21,26,-5,Down,23.0,-2.0
2291,Sandy Valley Elementary School,Region 3,2023,44,25,19,Up,35,21,14,Up,39.5,16.5
2291,Sandy Valley Elementary School,Region 3,2024,51,44,7,Up,33,35,-2,Down,42.0,2.5
2339,Sig Rogich Middle School,Region 2,2020,72,,,,45,,,,58.5,
2339,Sig Rogich Middle School,Region 2,2021,73,72,1,Up,50,45,5,Up,61.5,3.0
2339,Sig Rogich Middle School,Region 2,2022,67,73,-6,Down,54,50,4,Up,60.5,-1.0
2339,Sig Rogich Middle School,Region 2,2023,67,67,0,Flat,56,54,2,Up,61.5,1.0
2339,Sig Rogich Middle School,Region 2,2024,72,67,5,Up,62,56,6,Up,67.0,5.5
2111,John Dooley Elementary School,Region 3,2020,48,,,,18,,,,33.0,
2111,John Dooley Elementary School,Region 3,2021,53,48,5,Up,46,18,28,Up,49.5,16.5
2111,John Dooley Elementary School,Region 3,2022,52,53,-1,Down,45,46,-1,Down,48.5,-1.0
2111,John Dooley Elementary School,Region 3,2023,51,52,-1,Down,46,45,1,Up,48.5,0.0
2111,John Dooley Elementary School,Region 3,2024,48,51,-3,Down,46,46,0,Flat,47.0,-1.5
2369,Jo Mackey Middle School,Transformation Network,2020,35,,,,,,,,35.0,
2369,Jo Mackey Middle School,Transformation Network,2021,65,35,30,Up,20,,,,42.5,7.5
2369,Jo Mackey Middle School,Transformation Network,2022,47,65,-18,Down,22,20,2,Up,34.5,-8.0
2369,Jo Mackey Middle School,Transformation Network,2023,62,47,15,Up,30,22,8,Up,46.0,11.5
2369,Jo Mackey Middle School,Transformation Network,2024,69,62,7,Up,33,30,3,Up,51.0,5.0
2345,Marvin M Sedway Middle School,Region 2,2020,21,,,,7,,,,14.0,
2345,Marvin M Sedway Middle School,Region 2,2021,21,21,0,Flat,8,7,1,Up,14.5,0.5
2345,Marvin M Sedway Middle School,Region 2,2022,25,21,4,Up,10,8,2,Up,17.5,3.0
2345,Marvin M Sedway Middle School,Region 2,2023,22,25,-3,Down,9,10,-1,Down,15.5,-2.0
2345,Marvin M Sedway Middle School,Region 2,2024,22,22,0,Flat,9,9,0,Flat,15.5,0.0
2174,Lucille S Rogers Elementary School,Region 1,2020,56,,,,37,,,,46.5,
2174,Lucille S Rogers Elementary School,Region 1,2021,45,56,-11,Down,34,37,-3,Down,39.5,-7.0
2174,Lucille S Rogers Elementary School,Region 1,2022,44,45,-1,Down,44,34,10,Up,44.0,4.5
2174,Lucille S Rogers Elementary School,Region 1,2023,45,44,1,Up,42,44,-2,Down,43.5,-0.5
2174,Lucille S Rogers Elementary School,Region 1,2024,52,45,7,Up,49,42,7,Up,50.5,7.0
2319,B Mahlon Brown Junior High School,Region 3,2020,39,,,,20,,,,29.5,
2319,B Mahlon Brown Junior High School,Region 3,2021,41,39,2,Up,15,20,-5,Down,28.0,-1.5
2319,B Mahlon Brown Junior High School,Region 3,2022,39,41,-2,Down,20,15,5,Up,29.5,1.5
2319,B Mahlon Brown Junior High School,Region 3,2023,35,39,-4,Down,19,20,-1,Down,27.0,-2.5
2319,B Mahlon Brown Junior High School,Region 3,2024,40,35,5,Up,20,19,1,Up,30.0,3.0
2267,Elbert Edwards Elementary School,Region 3,2020,20,,,,9,,,,14.5,
2267,Elbert Edwards Elementary School,Region 3,2021,26,20,6,Up,13,9,4,Up,19.5,5.0
2267,Elbert Edwards Elementary School,Region 3,2022,21,26,-5,Down,21,13,8,Up,21.0,1.5
