SCHOOL_ID,SCHOOL_YEAR,SCHOOL_NAME,TOTAL_ENROLLMENT,CHRONIC_ABSENTEEISM_RATE,ABSENTEEISM_TIER,ELA_PCT_PROFICIENT,ELA_SUPPRESSED,MATH_PCT_PROFICIENT,MATH_SUPPRESSED,DBT_UPDATED_AT
2060,2020,Tyrone Thompson Elementary School,450,16,Moderate,63,FALSE,41,FALSE,2026-06-23 16:30:42.783 -0700
2060,2021,Tyrone Thompson Elementary School,592,26,High,69,FALSE,58,FALSE,2026-06-23 16:30:42.783 -0700
2060,2022,Tyrone Thompson Elementary School,712,22,High,58,FALSE,55,FALSE,2026-06-23 16:30:42.783 -0700
2060,2023,Tyrone Thompson Elementary School,861,25,High,59,FALSE,59,FALSE,2026-06-23 16:30:42.783 -0700
2060,2024,Tyrone Thompson Elementary School,916,24,High,66,FALSE,63,FALSE,2026-06-23 16:30:42.783 -0700
2061,2020,Sandra B Abston Elementary School,738,19,Moderate,50,FALSE,31,FALSE,2026-06-23 16:30:42.783 -0700
2061,2021,Sandra B Abston Elementary School,747,41,Critical,50,FALSE,40,FALSE,2026-06-23 16:30:42.783 -0700
2061,2022,Sandra B Abston Elementary School,727,35,Critical,47,FALSE,40,FALSE,2026-06-23 16:30:42.783 -0700
2061,2023,Sandra B Abston Elementary School,715,32,Critical,51,FALSE,44,FALSE,2026-06-23 16:30:42.783 -0700
2061,2024,Sandra B Abston Elementary School,726,28,High,51,FALSE,45,FALSE,2026-06-23 16:30:42.783 -0700
2062,2020,Earl N Jenkins Elementary School,647,26,High,39,FALSE,22,FALSE,2026-06-23 16:30:42.783 -0700
2062,2021,Earl N Jenkins Elementary School,608,46,Critical,43,FALSE,34,FALSE,2026-06-23 16:30:42.783 -0700
2062,2022,Earl N Jenkins Elementary School,667,39,Critical,40,FALSE,32,FALSE,2026-06-23 16:30:42.783 -0700
2062,2023,Earl N Jenkins Elementary School,635,32,Critical,40,FALSE,36,FALSE,2026-06-23 16:30:42.783 -0700
2062,2024,Earl N Jenkins Elementary School,636,28,High,45,FALSE,41,FALSE,2026-06-23 16:30:42.783 -0700
2064,2020,Robert & Sandy Ellis Elementary School,716,5,Low,66,FALSE,45,FALSE,2026-06-23 16:30:42.783 -0700
2064,2021,Robert & Sandy Ellis Elementary School,866,25,High,66,FALSE,57,FALSE,2026-06-23 16:30:42.783 -0700
2064,2022,Robert & Sandy Ellis Elementary School,1022,21,High,64,FALSE,56,FALSE,2026-06-23 16:30:42.783 -0700
2064,2023,Robert & Sandy Ellis Elementary School,882,18,Moderate,63,FALSE,62,FALSE,2026-06-23 16:30:42.783 -0700
2064,2024,Robert & Sandy Ellis Elementary School,909,19,Moderate,67,FALSE,61,FALSE,2026-06-23 16:30:42.783 -0700
2065,2020,Dennis Ortwein Elementary School,729,18,Moderate,43,FALSE,26,FALSE,2026-06-23 16:30:42.783 -0700
2065,2021,Dennis Ortwein Elementary School,721,35,Critical,39,FALSE,33,FALSE,2026-06-23 16:30:42.783 -0700
2065,2022,Dennis Ortwein Elementary School,769,30,Critical,43,FALSE,40,FALSE,2026-06-23 16:30:42.783 -0700
2065,2023,Dennis Ortwein Elementary School,790,26,High,42,FALSE,42,FALSE,2026-06-23 16:30:42.783 -0700
2065,2024,Dennis Ortwein Elementary School,828,24,High,53,FALSE,43,FALSE,2026-06-23 16:30:42.783 -0700
2066,2020,Shirley A Barber Elementary School,716,26,High,31,FALSE,20,FALSE,2026-06-23 16:30:42.783 -0700
2066,2021,Shirley A Barber Elementary School,748,36,Critical,42,FALSE,25,FALSE,2026-06-23 16:30:42.783 -0700
2066,2022,Shirley A Barber Elementary School,777,37,Critical,45,FALSE,40,FALSE,2026-06-23 16:30:42.783 -0700
2066,2023,Shirley A Barber Elementary School,779,32,Critical,50,FALSE,46,FALSE,2026-06-23 16:30:42.783 -0700
2066,2024,Shirley A Barber Elementary School,784,28,High,56,FALSE,49,FALSE,2026-06-23 16:30:42.783 -0700
2067,2020,Kenneth Divich Elementary School,920,11,Moderate,57,FALSE,37,FALSE,2026-06-23 16:30:42.783 -0700
2067,2021,Kenneth Divich Elementary School,968,25,High,63,FALSE,43,FALSE,2026-06-23 16:30:42.783 -0700
2067,2022,Kenneth Divich Elementary School,1020,20,High,55,FALSE,52,FALSE,2026-06-23 16:30:42.783 -0700
