organization_code,school_name,school_year,num_students_enrolled,math_num_tested,math_pct_not_tested,math_pct_tested,math_pct_proficient,math_pct_emergent,math_pct_approaches,math_pct_meets,math_pct_exceeds,ela_num_tested,ela_pct_not_tested,ela_pct_tested,ela_pct_proficient,ela_pct_emergent,ela_pct_approaches,ela_pct_meets,ela_pct_exceeds,sci_num_tested,sci_pct_proficient,sci_pct_emergent,sci_pct_approaches,sci_pct_meets,sci_pct_exceeds
02060,"Thompson Tyrone ES",2020-2021,184,123,33.1,66.8,41.4,30.0,28.4,30.8,10.5,125,32.0,67.9,63.2,14.4,22.4,36.8,26.4,-,-,-,-,-,-
02060,"Thompson Tyrone ES",2021-2022,272,272,<5,>95,57.7,18.0,24.2,30.1,27.5,272,<5,>95,68.7,12.1,19.1,30.8,37.8,-,-,-,-,-,-
02060,"Thompson Tyrone ES",2022-2023,365,362,<5,>95,55.2,22.3,22.3,28.1,27.0,362,<5,>95,58.0,26.2,15.7,29.0,29.0,-,-,-,-,-,-
02060,"Thompson Tyrone ES",2023-2024,424,423,<5,>95,58.6,17.2,24.1,31.4,27.1,423,<5,>95,59.3,19.3,21.2,27.4,31.9,-,-,-,-,-,-
02060,"Tyrone Thompson Elementary School",2024-2025,479,476,<5,>95,63.0,15.7,21.2,31.5,31.5,476,<5,>95,66.1,13.6,20.1,28.5,37.6,-,-,-,-,-,-
02061,"Abston Sandra B ES",2020-2021,381,268,29.6,70.3,30.5,37.6,31.7,21.6,8.9,265,30.4,69.5,49.8,27.9,22.2,28.3,21.5,-,-,-,-,-,-
02061,"Abston Sandra B ES",2021-2022,345,336,<5,>95,40.4,32.4,27.0,24.1,16.3,340,<5,>95,50.2,24.1,25.5,28.5,21.7,-,-,-,-,-,-
02061,"Abston Sandra B ES",2022-2023,346,345,<5,>95,40.2,36.5,23.1,23.1,17.1,345,<5,>95,46.9,27.2,25.7,28.4,18.5,-,-,-,-,-,-
02061,"Abston Sandra B ES",2023-2024,326,325,<5,>95,43.6,29.5,26.7,20.6,23.0,324,<5,>95,50.6,27.1,22.2,28.3,22.2,-,-,-,-,-,-
02061,"Sandra B Abston Elementary School",2024-2025,350,348,<5,>95,45.1,28.4,26.4,21.5,23.5,346,<5,>95,51.4,25.7,22.8,21.9,29.4,-,-,-,-,-,-
02062,"Jenkins Earl N ES",2020-2021,301,180,40.1,59.8,21.6,54.4,23.8,16.1,5.5,180,40.1,59.8,39.4,33.8,26.6,25.0,14.4,-,-,-,-,-,-
02062,"Jenkins Earl N ES",2021-2022,279,279,<5,>95,34.0,38.3,27.5,22.2,11.8,279,<5,>95,42.6,35.4,21.8,22.9,19.7,-,-,-,-,-,-
02062,"Jenkins Earl N ES",2022-2023,304,304,<5,>95,31.5,45.3,23.0,18.7,12.8,304,<5,>95,40.4,35.1,24.3,24.3,16.1,-,-,-,-,-,-
02062,"Jenkins Earl N ES",2023-2024,306,305,<5,>95,35.7,37.7,26.5,20.6,15.0,306,<5,>95,40.1,36.9,22.8,19.6,20.5,-,-,-,-,-,-
02062,"Earl N Jenkins Elementary School",2024-2025,316,315,<5,>95,41.2,28.5,30.1,22.5,18.7,316,<5,>95,44.9,31.9,23.1,21.2,23.7,-,-,-,-,-,-
02064,"Robert and Sandy Ellis Elementary",2018-2019,239,212,11.2,88.7,73.5,10.3,16.0,39.6,33.9,212,11.2,88.7,77.8,7.0,15.0,24.5,53.3,-,-,-,-,-,-
02064,"Robert and Sandy Ellis Elementary",2020-2021,290,259,10.6,89.3,45.1,20.8,33.9,25.8,19.3,260,10.3,89.6,66.1,17.3,16.5,33.4,32.6,-,-,-,-,-,-
02064,"Robert and Sandy Ellis Elementary",2021-2022,394,393,<5,>95,56.9,17.0,25.9,26.4,30.5,394,<5,>95,65.7,16.4,17.7,29.9,35.7,-,-,-,-,-,-
02064,"Robert and Sandy Ellis Elementary",2022-2023,461,458,<5,>95,56.3,20.3,23.3,25.7,30.5,460,<5,>95,64.3,19.7,15.8,28.9,35.4,-,-,-,-,-,-
02064,"Robert and Sandy Ellis Elementary",2023-2024,412,411,<5,>95,61.5,13.3,25.0,26.5,35.0,411,<5,>95,63.0,14.5,22.3,26.5,36.4,-,-,-,-,-,-
02064,"Robert & Sandy Ellis Elementary School",2024-2025,446,444,<5,>95,60.5,17.1,22.2,31.0,29.5,444,<5,>95,66.6,12.6,20.7,26.1,40.5,-,-,-,-,-,-
02065,"Dennis Ortwein Elementary ",2018-2019,296,274,7.4,92.5,49.2,20.0,30.6,32.4,16.7,274,7.4,92.5,54.7,22.6,22.6,32.4,22.2,-,-,-,-,-,-
02065,"Dennis Ortwein Elementary ",2020-2021,303,207,31.6,68.3,25.6,42.0,32.3,--,<5,207,31.6,68.3,43.4,26.5,29.9,26.5,16.9,-,-,-,-,-,-
02065,"Dennis Ortwein Elementary ",2021-2022,310,304,<5,>95,32.5,40.1,27.3,25.0,7.5,304,<5,>95,38.8,37.5,23.6,24.6,14.1,-,-,-,-,-,-
02065,"Dennis Ortwein Elementary ",2022-2023,352,350,<5,>95,40.0,29.4,30.5,25.4,14.5,348,<5,>95,43.3,29.3,27.2,24.1,19.2,-,-,-,-,-,-
02065,"Dennis Ortwein Elementary ",2023-2024,372,370,<5,>95,41.6,31.0,27.2,22.9,18.6,370,<5,>95,42.4,35.1,22.4,23.5,18.9,-,-,-,-,-,-
02065,"Dennis Ortwein Elementary School",2024-2025,422,419,<5,>95,43.1,28.4,28.4,27.2,15.9,419,<5,>95,52.5,26.4,21.0,29.8,22.6,-,-,-,-,-,-
02066,"Shirley A Barber Elementary",2018-2019,342,296,13.4,86.5,42.5,17.9,39.5,28.0,14.5,296,13.4,86.5,48.6,25.0,26.3,23.9,24.6,-,-,-,-,-,-
