school_name,accountability_year,organization_code,district_name,chronic_absenteeism_rate
"100 Academy ES",2018-2019,02093,Clark,15.6
"100 Academy ES",2020-2021,02093,Clark,16.9
"100 Academy ES",2021-2022,02093,Clark,45.8
"100 Academy ES",2022-2023,02093,Clark,44.6
"100 Academy ES",2023-2024,02093,Clark,39.1
"100 Academy MS",2018-2019,02364,Clark,15.6
"100 Academy MS",2020-2021,02364,Clark,18.8
"100 Academy MS",2021-2022,02364,Clark,32.1
"100 Academy MS",2022-2023,02364,Clark,47.0
"100 Academy MS",2023-2024,02364,Clark,32.1
"Abston, Sandra B ES",2020-2021,02061,Clark,18.7
"Abston, Sandra B ES",2021-2022,02061,Clark,41.4
"Abston, Sandra B ES",2022-2023,02061,Clark,35.4
"Abston, Sandra B ES",2023-2024,02061,Clark,31.7
"Acceleration Academy",2020-2021,02716,Clark,<5
"Acceleration Academy",2021-2022,02716,Clark,-
"Acceleration Academy",2022-2023,02716,Clark,-
"Acceleration Academy",2023-2024,02716,Clark,-
"Acceleration Academy",2024-2025,02716,Clark,-
"Adams ES",2018-2019,02131,Clark,18.2
"Adams ES",2020-2021,02131,Clark,15.3
"Adams ES",2021-2022,02131,Clark,33.6
"Adams ES",2022-2023,02131,Clark,40.9
"Adams ES",2023-2024,02131,Clark,25.8
"Adcock ES",2018-2019,02231,Clark,17.7
"Adcock ES",2020-2021,02231,Clark,22.1
"Adcock ES",2021-2022,02231,Clark,36.8
"Adcock ES",2022-2023,02231,Clark,36.4
"Adcock ES",2023-2024,02231,Clark,37.4
"Addeliar D Guy III Elementary School",2024-2025,02161,Clark,31.1
"Aggie Roberts Elementary School",2024-2025,02150,Clark,24.5
"Alamo ES",2018-2019,02178,Clark,12.7
"Alamo ES",2020-2021,02178,Clark,10.8
"Alamo ES",2021-2022,02178,Clark,32.1
"Alamo ES",2022-2023,02178,Clark,27.5
"Alamo ES",2023-2024,02178,Clark,23.2
"Aldeane Comito Ries Elementary School",2024-2025,02194,Clark,26.9
"Allen ES",2018-2019,02151,Clark,12.6
"Allen ES",2020-2021,02151,Clark,15.4
"Allen ES",2021-2022,02151,Clark,29.4
"Allen ES",2022-2023,02151,Clark,30.3
"Allen ES",2023-2024,02151,Clark,25.3
"Andrew Mitchell Elementary School",2024-2025,02250,Clark,19.7
"Ann Lynch Elementary School",2024-2025,02115,Clark,36.7
"Anthony Saville Middle School",2024-2025,02354,Clark,28.5
"Antonello ES",2018-2019,02140,Clark,16.2
"Antonello ES",2020-2021,02140,Clark,42.1
"Antonello ES",2021-2022,02140,Clark,53.0
"Antonello ES",2022-2023,02140,Clark,37.5
"Antonello ES",2023-2024,02140,Clark,32.8
"Arturo Cambeiro Elementary School",2024-2025,02155,Clark,33.5
"B Mahlon Brown Junior High School",2024-2025,02319,Clark,37.4
"Bailey (Sister) ES",2018-2019,02095,Clark,21.2
"Bailey (Sister) ES",2020-2021,02095,Clark,21.7
"Bailey (Sister) ES",2021-2022,02095,Clark,41.2
"Bailey (Sister) ES",2022-2023,02095,Clark,40.1
"Bailey (Sister) ES",2023-2024,02095,Clark,38.1
"Bailey MS",2018-2019,02357,Clark,29.8
"Bailey MS",2020-2021,02357,Clark,66.1
"Bailey MS",2021-2022,02357,Clark,54.5
"Bailey MS",2022-2023,02357,Clark,57.9
"Bailey MS",2023-2024,02357,Clark,41.9
"Barbara & Hank Greenspun Junior High School",2024-2025,02324,Clark,26.3
"Barry and June Gunderson Middle School",2024-2025,02368,Clark,20.8
"Bartlett ES",2018-2019,02137,Clark,9.7
"Bartlett ES",2020-2021,02137,Clark,15.7
"Bartlett ES",2021-2022,02137,Clark,30.1
"Bartlett ES",2022-2023,02137,Clark,25.6
"Bartlett ES",2023-2024,02137,Clark,20.9
"Bass ES",2018-2019,02280,Clark,14.8
"Bass ES",2020-2021,02280,Clark,16.6
"Bass ES",2021-2022,02280,Clark,39.5
"Bass ES",2022-2023,02280,Clark,28.6
"Bass ES",2023-2024,02280,Clark,20.8
"Batterman ES",2018-2019,02193,Clark,8.4
"Batterman ES",2020-2021,02193,Clark,10.6
"Batterman ES",2021-2022,02193,Clark,28.4
"Batterman ES",2022-2023,02193,Clark,27.5
"Batterman ES",2023-2024,02193,Clark,19.3
"Beatty ES",2018-2019,02108,Clark,16.6
"Beatty ES",2020-2021,02108,Clark,23.8
"Beatty ES",2021-2022,02108,Clark,36.3
"Beatty ES",2022-2023,02108,Clark,35.2
"Beatty ES",2023-2024,02108,Clark,34.8
"Becker MS",2018-2019,02327,Clark,10.9
"Becker MS",2020-2021,02327,Clark,22.0
"Becker MS",2021-2022,02327,Clark,42.1
"Becker MS",2022-2023,02327,Clark,29.3
"Becker MS",2023-2024,02327,Clark,15.7
"Beckley ES",2018-2019,02248,Clark,19.9
"Beckley ES",2020-2021,02248,Clark,26.6
"Beckley ES",2021-2022,02248,Clark,41.8
"Beckley ES",2022-2023,02248,Clark,42.8
"Beckley ES",2023-2024,02248,Clark,39.9
"Bell ES",2018-2019,02236,Clark,27.6
"Bell ES",2020-2021,02236,Clark,34.5
"Bell ES",2021-2022,02236,Clark,52.2
"Bell ES",2022-2023,02236,Clark,46.7
"Bell ES",2023-2024,02236,Clark,40.9
"Bendorf ES",2018-2019,02138,Clark,15.0
"Bendorf ES",2020-2021,02138,Clark,18.1
"Bendorf ES",2021-2022,02138,Clark,43.7
"Bendorf ES",2022-2023,02138,Clark,38.2
"Bendorf ES",2023-2024,02138,Clark,31.9
"Bennett ES",2018-2019,02292,Clark,27.2
"Bennett ES",2020-2021,02292,Clark,60.9
"Bennett ES",2021-2022,02292,Clark,54.3
"Bennett ES",2022-2023,02292,Clark,44.9
"Bennett ES",2023-2024,02292,Clark,36.1
"Berkeley L Bunker Elementary School",2024-2025,02163,Clark,30.3
"Berkley ES",2018-2019,02070,Clark,15.8
"Berkley ES",2020-2021,02070,Clark,16.0
"Berkley ES",2021-2022,02070,Clark,38.0
"Berkley ES",2022-2023,02070,Clark,30.5
"Berkley ES",2023-2024,02070,Clark,25.0
"Bertha Ronzone Elementary School",2024-2025,02201,Clark,28.4
"Betsy Rhodes Elementary School",2024-2025,02160,Clark,23.8
"Bilbray ES",2018-2019,02271,Clark,11.5
"Bilbray ES",2020-2021,02271,Clark,13.1
"Bilbray ES",2021-2022,02271,Clark,23.1
"Bilbray ES",2022-2023,02271,Clark,27.9
"Bilbray ES",2023-2024,02271,Clark,21.2
"Bill Y Tomiyasu Elementary School",2024-2025,02265,Clark,26.9
