organization_code,school_name,address,city,state,zip_code
2060,Tyrone Thompson Elementary School,10250 S. El Capitan Way,Las Vegas,NV,89178
2061,Sandra B Abston Elementary School,9950 W. Tompkins Ave.,Las Vegas,NV,89147
2062,Earl N Jenkins Elementary School,6950 Vegas Valley Dr.,Las Vegas,NV,89142
2064,Robert & Sandy Ellis Elementary School,3200 Artella Ave.,Henderson,NV,89044
2065,Dennis Ortwein Elementary School,10926 Dean Martin Dr.,Las Vegas,NV,89141
2066,Shirley A Barber Elementary School,2002 Dave St.,Las Vegas,NV,89183
2067,Kenneth Divich Elementary School,9851 Donald Nelson Dr.,Las Vegas,NV,89149
2068,Jan L Jones Blackhurst Elementary School,11141 S. Pioneer Way,Las Vegas,NV,89179
2069,Billy & Rosemary Vassiliadis Elementary School,215 Antelope Ridge Dr.,Las Vegas,NV,89138
2070,Shelley Berkley Elementary School,9850 Copper Edge Rd.,Las Vegas,NV,89148
2071,Josh Stevens Elementary School,550 Dave Wood Cir.,Henderson,NV,89011
2072,Dr Beverly S Mathis Elementary School,7950 Arville St.,Las Vegas,NV,89139
2073,Lomie G Heard Elementary School,4497 Kell Ln.,Las Vegas,NV,89115
2074,Don & Dee Snyder Elementary School,8951 W. Ford Ave.,Las Vegas,NV,89148
2076,Ruby Duncan Elementary School,250 W. Rome Blvd.,N. Las Vegas,NV,89084
2077,Shirley & Bill Wallin Elementary School,2333 Canyon Retreat Dr.,Henderson,NV,89044
2078,Evelyn Stuckey Elementary School,4905 Chartan Ave.,Las Vegas,NV,89141
2079,Charlotte & Jerry Keller Elementary School,5445 Cedar Ave.,Las Vegas,NV,89110
2080,Mark L Fine Elementary School,6635 W. Cougar Ave.,Las Vegas,NV,89139
2081,Henry & Evelyn Bozarth Elementary School,7431 Egan Crest Dr.,Las Vegas,NV,89166
2082,Vincent L Triggs Elementary School,4470 W. Rome Blvd.,N. Las Vegas,NV,89084
2083,Thomas ORoarke Elementary School,8455 O’Hare Rd.,Las Vegas,NV,89143
2084,Carolyn S Reedom Elementary School,10025 Rumrill St.,Las Vegas,NV,89178
2085,Ruben P Diaz Elementary School,4450 E. Owens Ave.,Las Vegas,NV,89110
2086,Jesse D Scott Elementary School,5700 N. Bruce St.,N. Las Vegas,NV,89081
2087,Rainbow Dreams Early Learning Academy,950 W Lake Mead Blvd,Las Vegas,NV,89106
2089,West Preparatory Academy Elementary School,2050 Sapphire Stone Ave.,Las Vegas,NV,89106
2090,James E & A Rae Smalley Elementary School,304 E. Paradise Hills Dr.,Henderson,NV,89002
2091,Dr Claude G Perkins Elementary School,3700 Shadow Tree St.,N. Las Vegas,NV,89032
2092,Innovations International Charter Elementary School,1600 E Oakey Blvd,Las Vegas,NV,89104
2093,FuturEdge Academy Elementary School,2341 Comstock Dr,N Las Vegas,NV,89032
2094,D L Dusty Dickens Elementary School,5550 Milan Peak St.,N. Las Vegas,NV,89081
2095,Sister Robert Joseph Bailey Elementary School,4525 Jimmy Durante Blvd.,Las Vegas,NV,89122
2096,Dr C Owen Roundy Elementary School,2755 Mohawk St.,Las Vegas,NV,89146
2097,Robert L Forbuss Elementary School,8601 S. Grand Canyon Dr.,Las Vegas,NV,89178
2098,Judith D Steele Elementary School,6995 W. Eldorado Ln.,Las Vegas,NV,89113
2099,Steve Schorr Elementary School,11420 Placid St.,Las Vegas,NV,89183
2100,Kitty McDonough Ward Elementary School,5555 Horse Dr.,Las Vegas,NV,89131
2101,Blue Diamond Elementary School,6 Diamond St.,Blue Diamond,NV,89004
2102,Goodsprings Elementary School,385 W. San Pedro Ave.,Goodsprings,NV,89019
2103,Earl B. Lundy Elementary School,4405 Yellow Pine Ave.,Mt. Charleston,NV,89124
2104,Harry Reid Elementary School,300 Michael Wendell Way,Searchlight,NV,89046
2105,Martin Luther King Jr Elementary School,2260 Betty Ln.,Las Vegas,NV,89156
2106,Ruthe Deskin Elementary School,4550 N. Pioneer Way,Las Vegas,NV,89129
2107,Frank Kim Elementary School,7600 Peace Way,Las Vegas,NV,89147
2108,John R Beatty Elementary School,8685 Hidden Palms Pkwy.,Las Vegas,NV,89123
2109,M J Christensen Elementary School,9001 Mariner Cove Dr.,Las Vegas,NV,89117
2110,Claude & Stella Parson Elementary School,4100 Thom Blvd.,Las Vegas,NV,89130
2111,John Dooley Elementary School,1940 Chickasaw Dr.,Henderson,NV,89002
2112,John F Mendoza Elementary School,2000 S. Sloan Ln.,Las Vegas,NV,89142
2113,James B McMillan Elementary School,7000 Walt Lott Dr.,Las Vegas,NV,89128
2114,Ute Perkins Elementary School,"1255 Patriots Way, P.O. Box 189",Moapa,NV,89025
2115,Ann Lynch Elementary School,4850 Kell Ln.,Las Vegas,NV,89115
2116,Gwendolyn Woolley Elementary School,3955 Timberlake Dr.,Las Vegas,NV,89115
